@relation systemml_v0.14.0-incubating-rc4
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.053,0.0,0.016,0.0,0.0,0.015,0.75,0.0,0.017,0.021,0.51,0.019,0.105,0.021,0.126,0.015,0.052,0.001,0.053,0.068,0.082,0.072,0.0,0.05,0.067,0.074,0.03,0.0,0.0,0.108,0.12,0.06,0.047,0.032,0.0,0.0,0.0,0.128,0.002,0.0,-1.0
0.064,0.0,0.016,0.0,0.0,0.021,0.75,0.0,0.017,0.032,0.529,0.029,0.122,0.031,0.143,0.023,0.07,0.002,0.053,0.102,0.099,0.113,0.0,0.133,0.089,0.186,0.03,0.0,0.07,0.104,0.185,0.124,0.047,0.048,0.0,0.0,0.0,0.143,0.002,0.0,-1.0
0.032,0.0,0.005,0.0,0.0,0.011,0.5,0.0,0.017,0.016,0.451,0.016,0.091,0.016,0.109,0.011,0.044,0.001,0.079,0.051,0.136,0.093,0.0,0.083,0.033,0.0,0.045,0.0,0.0,0.11,0.194,0.079,0.01,0.024,0.0,0.0,0.0,0.167,0.002,0.0,-1.0
0.053,0.0,0.016,0.0,0.0,0.016,0.7,0.0,0.05,0.025,0.569,0.024,0.123,0.024,0.146,0.018,0.061,0.001,0.059,0.068,0.074,0.062,0.01,0.05,0.067,0.056,0.045,0.0,0.0,0.078,0.118,0.053,0.01,0.036,0.0,0.0,0.0,0.107,0.002,0.0,-1.0
0.074,0.0,0.016,0.0,0.0,0.017,0.75,0.0,0.017,0.028,0.529,0.026,0.128,0.027,0.148,0.02,0.061,0.002,0.053,0.091,0.09,0.083,0.0,0.067,0.111,0.037,0.03,0.0,0.053,0.121,0.222,0.079,0.061,0.016,0.0,0.0,0.0,0.154,0.002,0.0,-1.0
0.074,0.0,0.016,0.0,0.0,0.016,0.75,0.0,0.017,0.024,0.471,0.023,0.115,0.024,0.133,0.017,0.054,0.001,0.061,0.045,0.086,0.078,0.013,0.072,0.022,0.0,0.03,0.0,0.0,0.1,0.435,0.064,0.007,0.016,0.0,0.0,0.0,0.13,0.005,0.0,-1.0
0.064,0.0,0.016,0.0,0.0,0.014,0.75,0.0,0.017,0.021,0.471,0.02,0.109,0.021,0.127,0.015,0.05,0.001,0.053,0.045,0.086,0.067,0.0,0.044,0.089,0.0,0.03,0.0,0.0,0.078,0.139,0.056,0.007,0.016,0.0,0.0,0.0,0.141,0.002,0.0,-1.0
0.074,0.0,0.016,0.0,0.0,0.022,0.75,0.0,0.033,0.033,0.549,0.031,0.127,0.033,0.148,0.024,0.077,0.002,0.061,0.147,0.086,0.115,0.0,0.072,0.111,0.111,0.061,0.0,0.017,0.13,0.306,0.105,0.041,0.095,0.0,0.0,0.0,0.156,0.002,0.0,1.0
0.085,0.0,0.016,0.0,0.0,0.02,0.75,0.0,0.017,0.031,0.549,0.029,0.123,0.03,0.145,0.022,0.072,0.002,0.061,0.091,0.095,0.09,0.013,0.083,0.022,0.037,0.03,0.0,0.105,0.147,0.528,0.079,0.081,0.016,0.0,0.0,0.0,0.134,0.005,0.0,-1.0
0.074,0.0,0.016,0.0,0.0,0.018,0.75,0.0,0.017,0.028,0.529,0.026,0.119,0.027,0.14,0.02,0.066,0.002,0.053,0.068,0.09,0.09,0.0,0.072,0.111,0.037,0.03,0.0,0.035,0.139,0.194,0.086,0.067,0.016,0.0,0.0,0.0,0.147,0.002,0.0,-1.0
0.074,0.0,0.016,0.0,0.0,0.018,0.75,0.0,0.017,0.028,0.529,0.026,0.118,0.027,0.139,0.02,0.066,0.002,0.061,0.068,0.095,0.086,0.013,0.078,0.022,0.037,0.03,0.0,0.035,0.139,0.417,0.075,0.067,0.016,0.0,0.0,0.0,0.124,0.005,0.0,-1.0
0.053,0.0,0.016,0.0,0.0,0.017,0.75,0.0,0.017,0.024,0.529,0.021,0.096,0.023,0.118,0.016,0.066,0.001,0.061,0.068,0.074,0.088,0.013,0.089,0.022,0.074,0.03,0.0,0.017,0.078,0.324,0.075,0.034,0.032,0.0,0.0,0.0,0.122,0.005,0.0,-1.0
0.064,0.0,0.016,0.0,0.0,0.015,0.75,0.0,0.033,0.022,0.471,0.022,0.112,0.022,0.13,0.016,0.053,0.001,0.061,0.045,0.086,0.072,0.0,0.061,0.089,0.0,0.03,0.0,0.0,0.095,0.12,0.067,0.007,0.016,0.0,0.0,0.0,0.147,0.002,0.0,-1.0
0.213,0.0,0.031,0.0,0.0,0.108,0.57,0.002,0.083,0.162,0.765,0.175,0.357,0.167,0.377,0.144,0.214,0.039,0.028,0.246,0.067,0.151,0.044,0.153,0.15,0.176,0.205,0.0,0.294,0.062,0.484,0.175,0.417,0.071,0.0,0.0,0.0,0.134,0.001,0.0,-1.0
0.064,0.0,0.0,0.0,0.0,0.027,0.5,0.002,0.0,0.162,0.765,0.175,0.357,0.167,0.377,0.144,0.214,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.017,0.059,0.023,0.049,0.02,0.049,0.012,0.034,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.106,0.0,0.021,0.0,0.0,0.035,0.5,0.0,0.033,0.048,0.471,0.041,0.116,0.045,0.134,0.033,0.096,0.004,0.126,0.081,0.168,0.115,0.0,0.07,0.013,0.089,0.0,0.0,0.0,0.208,0.183,0.097,0.134,0.067,0.0,0.0,0.0,0.181,0.001,0.0,-1.0
0.096,0.0,0.016,0.0,0.0,0.025,0.5,0.0,0.033,0.032,0.471,0.029,0.102,0.031,0.121,0.022,0.075,0.002,0.112,0.076,0.142,0.098,0.0,0.058,0.017,0.083,0.0,0.0,0.0,0.136,0.146,0.081,0.086,0.06,0.0,0.0,0.0,0.153,0.001,0.0,-1.0
0.106,0.0,0.016,0.0,0.0,0.025,0.5,0.0,0.033,0.038,0.471,0.032,0.113,0.036,0.131,0.026,0.077,0.003,0.112,0.076,0.142,0.097,0.0,0.062,0.017,0.083,0.0,0.0,0.0,0.237,0.125,0.084,0.111,0.06,0.0,0.0,0.0,0.16,0.001,0.0,-1.0
0.096,0.0,0.016,0.0,0.0,0.025,0.5,0.0,0.033,0.032,0.49,0.029,0.107,0.031,0.126,0.022,0.076,0.002,0.105,0.076,0.142,0.098,0.0,0.071,0.017,0.083,0.0,0.0,0.0,0.14,0.118,0.09,0.086,0.06,0.0,0.0,0.0,0.164,0.001,0.0,-1.0
0.021,0.0,0.041,0.0,0.0,0.025,0.69,0.006,0.033,0.035,0.412,0.029,0.084,0.033,0.101,0.023,0.083,0.003,0.053,0.068,0.051,0.054,0.02,0.071,0.059,0.111,0.0,0.0,0.007,0.042,0.188,0.058,0.015,0.036,0.0,0.0,0.0,0.068,0.006,0.0,-1.0
0.0,0.0,0.016,0.0,0.25,0.021,0.0,0.0,0.05,0.026,0.412,0.023,0.092,0.025,0.108,0.017,0.059,0.001,0.184,0.102,0.278,0.172,0.0,0.117,0.0,0.111,0.0,0.0,0.0,0.312,0.194,0.157,0.142,0.095,0.0,0.0,0.0,0.297,0.001,0.0,-1.0
0.0,0.0,0.13,0.0,0.25,0.023,0.0,0.0,0.0,0.02,0.157,0.023,0.055,0.021,0.06,0.013,0.049,0.001,0.052,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.031,0.001,0.0,-1.0
0.0,0.0,0.13,0.0,0.25,0.023,0.0,0.0,0.0,0.02,0.157,0.023,0.055,0.021,0.06,0.013,0.049,0.001,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.001,0.0,-1.0
0.0,0.0,0.13,0.0,0.25,0.023,0.0,0.0,0.0,0.02,0.157,0.023,0.055,0.021,0.06,0.013,0.049,0.001,0.052,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.036,0.001,0.0,-1.0
0.0,0.0,0.13,0.0,0.25,0.023,0.0,0.0,0.0,0.02,0.157,0.023,0.055,0.021,0.06,0.013,0.049,0.001,0.052,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.036,0.001,0.0,-1.0
0.096,0.0,0.005,0.077,0.0,0.044,0.665,0.0,0.05,0.058,0.49,0.046,0.155,0.053,0.172,0.04,0.084,0.004,0.167,0.079,0.173,0.148,0.0,0.083,0.222,0.074,0.0,0.223,0.0,0.338,0.194,0.131,0.095,0.095,0.0,0.0,0.0,0.318,0.003,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.059,0.002,0.022,0.002,0.024,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.157,0.004,0.03,0.004,0.036,0.002,0.014,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.004,0.176,0.005,0.034,0.004,0.041,0.003,0.015,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.085,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.025,0.003,0.033,0.002,0.014,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.085,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.025,0.003,0.033,0.002,0.014,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.079,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.004,0.196,0.005,0.035,0.004,0.043,0.003,0.017,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.733,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.079,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.026,0.003,0.034,0.002,0.015,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.137,0.002,0.017,0.002,0.023,0.001,0.01,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.025,0.003,0.033,0.002,0.014,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.028,0.003,0.037,0.002,0.016,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.027,0.003,0.036,0.002,0.016,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.026,0.003,0.035,0.002,0.016,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.085,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.027,0.003,0.035,0.002,0.015,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.03,0.004,0.038,0.002,0.016,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.027,0.003,0.036,0.002,0.016,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.027,0.003,0.036,0.002,0.016,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.025,0.003,0.033,0.002,0.014,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.026,0.003,0.034,0.002,0.015,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.001,0.0,-1.0
0.106,0.0,0.031,0.0,0.0,0.027,0.5,0.0,0.05,0.037,0.549,0.034,0.139,0.036,0.16,0.027,0.077,0.003,0.057,0.08,0.029,0.039,0.0,0.032,0.061,0.091,0.041,0.0,0.005,0.032,0.099,0.04,0.028,0.043,0.0,0.0,0.0,0.075,0.001,0.0,-1.0
0.149,0.0,0.041,0.0,0.0,0.025,0.5,0.002,0.067,0.031,0.51,0.03,0.134,0.031,0.153,0.023,0.065,0.002,0.063,0.041,0.038,0.033,0.004,0.027,0.027,0.011,0.0,0.0,0.005,0.036,0.089,0.024,0.018,0.005,0.0,0.0,0.0,0.097,0.002,0.0,-1.0
0.096,0.0,0.067,0.0,0.0,0.03,0.5,0.0,0.05,0.034,0.49,0.031,0.139,0.033,0.157,0.024,0.064,0.002,0.064,0.056,0.026,0.032,0.0,0.013,0.033,0.0,0.033,0.023,0.007,0.019,0.02,0.021,0.007,0.02,0.0,0.0,0.0,0.085,0.001,0.0,-1.0
0.085,0.0,0.016,0.0,0.0,0.015,0.5,0.0,0.05,0.017,0.471,0.018,0.101,0.018,0.12,0.013,0.047,0.001,0.079,0.059,0.059,0.045,0.0,0.033,0.033,0.0,0.068,0.0,0.0,0.055,0.049,0.045,0.025,0.036,0.0,0.0,0.0,0.124,0.001,0.0,-1.0
0.117,0.0,0.057,0.0,0.0,0.028,0.5,0.0,0.067,0.031,0.529,0.031,0.15,0.031,0.169,0.024,0.063,0.002,0.072,0.057,0.031,0.034,0.0,0.018,0.022,0.009,0.038,0.027,0.009,0.024,0.046,0.022,0.01,0.012,0.0,0.0,0.0,0.091,0.001,0.0,-1.0
0.085,0.0,0.026,0.0,0.0,0.026,0.5,0.002,0.083,0.031,0.569,0.03,0.146,0.03,0.167,0.023,0.066,0.002,0.075,0.082,0.048,0.054,0.0,0.043,0.067,0.063,0.065,0.0,0.007,0.041,0.095,0.051,0.029,0.034,0.0,0.0,0.0,0.107,0.002,0.0,-1.0
0.074,0.0,0.036,0.0,0.0,0.025,0.5,0.0,0.067,0.028,0.569,0.029,0.134,0.028,0.156,0.021,0.068,0.002,0.072,0.072,0.045,0.046,0.0,0.025,0.017,0.056,0.023,0.043,0.007,0.029,0.035,0.03,0.013,0.024,0.0,0.0,0.0,0.089,0.001,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.059,0.002,0.018,0.002,0.02,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.157,0.004,0.03,0.004,0.036,0.002,0.014,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.096,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.004,0.176,0.005,0.034,0.004,0.041,0.003,0.015,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.025,0.003,0.033,0.002,0.014,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.025,0.003,0.033,0.002,0.014,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.085,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.004,0.196,0.005,0.035,0.004,0.043,0.003,0.017,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.733,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.085,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.026,0.003,0.034,0.002,0.015,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.096,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.137,0.002,0.017,0.002,0.023,0.001,0.01,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.079,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.025,0.003,0.033,0.002,0.014,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.028,0.003,0.037,0.002,0.016,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.027,0.003,0.036,0.002,0.016,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.096,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.026,0.003,0.035,0.002,0.016,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.176,0.004,0.027,0.003,0.035,0.002,0.015,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.09,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.03,0.004,0.038,0.002,0.016,0.0,0.053,0.034,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.001,0.0,-1.0
0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.196,0.004,0.027,0.003,0.036,0.002,0.016,0.0,0.026,0.034,0.012,0.021,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.013,0.0,0.011,0.02,0.0,0.0,0.0,0.0,0.096,0.001,0.0,-1.0
